config_id,feature_set,dimension,n_observations,n_subjects,n_folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,macro_precision_mean,macro_precision_sd,macro_recall_mean,macro_recall_sd,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_sd,fold_balanced_accuracy_values,fold_macro_f1_values,fold_macro_auc_values
A0,BandPower,170,633,211,10,0.49271284271284277,0.040911133908327235,0.46984126984126984,0.5171717171717172,0.49271284271284277,0.04091113390832723,0.48897699557699126,0.04092827354131638,0.5017733811980198,0.04543293339506525,0.49271284271284277,0.040911133908327235,0.678324603486941,0.043426588226721366,"[0.5303030303030303, 0.4761904761904762, 0.4444444444444445, 0.5714285714285715, 0.5079365079365079, 0.4761904761904762, 0.5238095238095238, 0.4603174603174603, 0.49206349206349204, 0.4444444444444444]","[0.5276809910956252, 0.4724783535065053, 0.43841113841113843, 0.5690058479532164, 0.5008547008547009, 0.4702093397745572, 0.5125836223397199, 0.46365386986918616, 0.4968176538908246, 0.4380744380744381]","[0.684228650137741, 0.6322751322751322, 0.6292517006802721, 0.7868480725623582, 0.6704459561602419, 0.6855631141345427, 0.6609977324263038, 0.6772486772486772, 0.6885865457294029, 0.6678004535147393]"
A1,E,2176,633,211,10,0.4696248196248196,0.047895730072989036,0.4406204906204906,0.49682539682539684,0.4696248196248196,0.04789573007298902,0.46413944451954003,0.048324709833663194,0.47197088141476023,0.05077031288546885,0.4696248196248196,0.047895730072989036,0.6459833336456713,0.05217382321601861,"[0.37878787878787873, 0.5238095238095238, 0.42857142857142855, 0.5079365079365079, 0.4761904761904762, 0.4603174603174603, 0.42857142857142855, 0.5238095238095238, 0.5079365079365079, 0.4603174603174603]","[0.3805489637715551, 0.5151838768860045, 0.41340530814215026, 0.5020541549953315, 0.47597132736451625, 0.4579365079365079, 0.4197416218283124, 0.5240057100522216, 0.5025892765830847, 0.44995769763571625]","[0.559228650137741, 0.7346938775510203, 0.5744520030234316, 0.6470143613000755, 0.6768707482993198, 0.6390778533635676, 0.6194255479969765, 0.6541950113378685, 0.6882086167800453, 0.6666666666666665]"
A2,D,238,633,211,10,0.4223665223665224,0.06327688843507727,0.38297258297258296,0.4587301587301587,0.4223665223665223,0.06327688843507727,0.41853527925985745,0.06161031260472987,0.42320281924186665,0.06184532697748384,0.4223665223665224,0.06327688843507727,0.5976853413541725,0.07044672172772665,"[0.30303030303030304, 0.5079365079365079, 0.4761904761904762, 0.42857142857142855, 0.4761904761904762, 0.38095238095238093, 0.34920634920634924, 0.4285714285714286, 0.41269841269841273, 0.4603174603174603]","[0.30127021431369255, 0.4862914862914862, 0.47683982683982684, 0.42904656319290474, 0.47943658408774686, 0.3794822974749536, 0.34517139090309823, 0.4267310789049919, 0.4046696197858988, 0.4564137308039747]","[0.48932506887052335, 0.7180650037792895, 0.6375661375661376, 0.607331821617536, 0.6538170823885109, 0.5517762660619804, 0.5124716553287981, 0.6526832955404384, 0.563869992441421, 0.5899470899470899]"
A3,T,68,633,211,10,0.35339105339105337,0.05001225487166895,0.32539682539682535,0.3845598845598846,0.35339105339105337,0.05001225487166894,0.3485014819422312,0.050064231356665295,0.3566731259297382,0.053546200692939944,0.35339105339105337,0.05001225487166895,0.5269809255198866,0.05521909134135308,"[0.45454545454545453, 0.3968253968253968, 0.3650793650793651, 0.3333333333333333, 0.3650793650793651, 0.28571428571428564, 0.3650793650793651, 0.34920634920634913, 0.2857142857142857, 0.3333333333333333]","[0.45240761478163494, 0.39133793052104565, 0.35724185724185725, 0.33384652783404906, 0.34734848484848485, 0.281583955496999, 0.3636649514008005, 0.349860157640478, 0.2821965995700606, 0.3255267400869019]","[0.53133608815427, 0.5479969765684051, 0.6043083900226757, 0.4735449735449735, 0.4814814814814814, 0.47354497354497355, 0.599395313681028, 0.47656840513983373, 0.490551776266062, 0.5910808767951625]"
A4,C,3,633,211,10,0.35519480519480523,0.07114584924985905,0.31269841269841275,0.3952380952380953,0.35519480519480523,0.07114584924985905,0.330292311144358,0.06514003533260251,0.3510262804395665,0.07433582049413931,0.35519480519480523,0.07114584924985905,0.5417101597296402,0.06020520288365184,"[0.4090909090909091, 0.4444444444444444, 0.31746031746031744, 0.20634920634920637, 0.4444444444444445, 0.3650793650793651, 0.31746031746031744, 0.3650793650793651, 0.3650793650793651, 0.31746031746031744]","[0.38940170940170943, 0.4114285714285714, 0.29294096728307256, 0.1896871945259042, 0.3846153846153846, 0.3214285714285714, 0.2846153846153846, 0.358541280738077, 0.3573388773388773, 0.3129251700680272]","[0.5478650137741047, 0.6145124716553289, 0.5616024187452758, 0.4652305366591081, 0.6205593348450491, 0.5993953136810279, 0.4848828420256992, 0.5612244897959183, 0.49659863945578225, 0.4652305366591081]"
A5,D + T,306,633,211,10,0.43809523809523804,0.07564472381232387,0.39365079365079364,0.4841269841269841,0.43809523809523804,0.07564472381232389,0.4340067907092897,0.07541180818126816,0.4396966230121264,0.07519300130279118,0.43809523809523804,0.07564472381232387,0.6147939662550053,0.05353193074245464,"[0.3333333333333333, 0.5555555555555556, 0.5555555555555555, 0.42857142857142855, 0.4761904761904762, 0.38095238095238093, 0.38095238095238093, 0.3968253968253968, 0.3968253968253968, 0.4761904761904761]","[0.3247507757311679, 0.5425858959623993, 0.5548340548340548, 0.4217687074829932, 0.47635253761175483, 0.3734989648033126, 0.3786359530261969, 0.3951659451659452, 0.3997113997113997, 0.4727636727636728]","[0.5292699724517906, 0.6972789115646258, 0.6749811035525322, 0.6103552532123961, 0.6360544217687075, 0.5778533635676492, 0.5574452003023431, 0.628495842781557, 0.581254724111867, 0.6549508692365835]"
A6,E + D,2414,633,211,10,0.49343434343434345,0.0632387139297668,0.4551172438672439,0.5315349927849927,0.49343434343434345,0.06323871392976678,0.48516675794703695,0.0632644864125962,0.49329618499576294,0.06772976500337013,0.49343434343434345,0.0632387139297668,0.6520217637100754,0.057694650513758744,"[0.37878787878787873, 0.5555555555555556, 0.42857142857142855, 0.6031746031746031, 0.4761904761904762, 0.4761904761904761, 0.49206349206349204, 0.5396825396825397, 0.4920634920634921, 0.49206349206349204]","[0.37938617307388073, 0.5432170542635658, 0.4143958199685754, 0.5976064844542468, 0.46728378004973753, 0.4724329517542667, 0.48558284728497497, 0.5411508576321519, 0.4755799755799755, 0.4750316354089939]","[0.5523415977961433, 0.7615268329554045, 0.5869236583522297, 0.6655328798185941, 0.6795162509448224, 0.6386999244142101, 0.6239606953892668, 0.6681783824640967, 0.6923658352229781, 0.6511715797430083]"
A7,E + T,2244,633,211,10,0.4725108225108226,0.0504276302547943,0.443939393939394,0.5015873015873016,0.4725108225108225,0.05042763025479427,0.46704636423172163,0.050265659628837646,0.47558011433360636,0.05345796868808919,0.4725108225108226,0.0504276302547943,0.6485734743851627,0.0499229926476725,"[0.43939393939393945, 0.5714285714285715, 0.3968253968253968, 0.49206349206349204, 0.4920634920634921, 0.4920634920634921, 0.41269841269841273, 0.4603174603174603, 0.5079365079365079, 0.4603174603174603]","[0.43947322518751086, 0.5574282668150002, 0.3833059065257207, 0.48536216654683556, 0.49333333333333335, 0.4897546897546898, 0.40655844685537157, 0.4615668883961567, 0.5030634349519799, 0.4506172839506173]","[0.5726584022038569, 0.7343159486016629, 0.5744520030234316, 0.6436130007558579, 0.6795162509448224, 0.6318972033257747, 0.6383219954648526, 0.6489040060468632, 0.6942554799697657, 0.6678004535147393]"
A8,E + D + T,2482,633,211,10,0.4932900432900433,0.05479823180280923,0.4595959595959596,0.5238095238095237,0.4932900432900433,0.054798231802809245,0.4868584521364442,0.05468241923209691,0.4926652246200317,0.05668121027091507,0.4932900432900433,0.05479823180280923,0.6548999581467114,0.05770993330427499,"[0.4090909090909091, 0.5555555555555555, 0.3968253968253968, 0.5396825396825397, 0.4920634920634921, 0.5079365079365079, 0.4603174603174603, 0.5396825396825397, 0.5238095238095238, 0.5079365079365079]","[0.4097714736012608, 0.5432438696518797, 0.3833059065257207, 0.5378396689372299, 0.4872083860208551, 0.5056007226738933, 0.4586080586080586, 0.5387241344688153, 0.5111111111111111, 0.493171189765617]","[0.5633608815426997, 0.7683295540438397, 0.5793650793650792, 0.6617535903250188, 0.6832955404383977, 0.6405895691609977, 0.6368102796674224, 0.6572184429327287, 0.6942554799697657, 0.6640211640211641]"
A9,E + D + T + C,2485,633,211,10,0.4932900432900433,0.05581061867308227,0.4595959595959596,0.525036075036075,0.4932900432900433,0.055810618673082256,0.4862105358444503,0.05564835403938593,0.49168937131235974,0.057603812230676954,0.4932900432900433,0.05581061867308227,0.6542053965755263,0.05792970197049516,"[0.4090909090909091, 0.5714285714285715, 0.3968253968253968, 0.5396825396825397, 0.4920634920634921, 0.4920634920634921, 0.4761904761904762, 0.5396825396825397, 0.5238095238095238, 0.49206349206349204]","[0.4097714736012608, 0.5575447570332481, 0.3833059065257207, 0.5378396689372299, 0.4872083860208551, 0.4885275519421861, 0.47267389340560073, 0.5387241344688153, 0.5111111111111111, 0.47539847539847546]","[0.5609504132231405, 0.7679516250944823, 0.5797430083144368, 0.6591080876795162, 0.6825396825396824, 0.6402116402116401, 0.6364323507180649, 0.6568405139833712, 0.693877551020408, 0.6643990929705215]"
